slot,avg_ov,ov,rb_ov
1,0.5346428571428572,0.7,0.7052455357142857
2,0.2928968253968254,0.1,0.6930648561507935
3,0.07456349206349207,0.2,0.004620845734126984
4,0.10956349206349207,0.1,0.026398189484126984
5,0.1928968253968254,0.1,0.19306485615079363
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.15746031746031747,0.2,0.028317212301587298
10,0.35035714285714287,0.3,0.22138206845238095
11,0.20289682539682538,0.2,0.19316251240079363
12,0.3357936507936508,0.2,0.26112971230158727
13,0.2928968253968254,0.1,0.6930648561507935
14,0.5393650793650793,0.5,0.3991365947420634
15,0.3857936507936508,0.2,0.38612971230158727
16,0.10956349206349207,0.1,0.026398189484126984
17,0.46940476190476177,0.3,0.7619326636904762
18,0.3265079365079365,0.2,0.6938678075396825
19,0.01,0.1,9.765625E-5
20,0.3982539682539683,0.4,0.2233010912698413
21,0.514920634920635,0.4,0.7259052579365078
22,0.1741269841269841,0.2,0.030921378968253962
23,0.35035714285714287,0.3,0.22138206845238095
24,0.37857142857142856,0.3,0.6979027157738095
25,0.23480158730158732,0.4,0.02013423859126984
26,0.40246031746031746,0.2,0.7194630456349207
27,0.5703571428571428,0.3,0.8969029017857143
28,0.43579365079365073,0.2,0.7611297123015874
29,0.2928968253968254,0.1,0.6930648561507935
30,0.25535714285714284,0.3,0.07450706845238095
31,0.2274603174603175,0.2,0.07883804563492064
32,0.0,0.0,0.0
33,0.20289682539682538,0.2,0.19316251240079363
34,0.0,0.0,0.0
35,0.021111111111111112,0.1,3.1467013888888886E-4
36,0.2857936507936508,0.2,0.1361297123015873
37,0.34079365079365076,0.2,0.694983878968254
38,0.0,0.0,0.0
39,0.2928968253968254,0.1,0.6930648561507935
40,0.3140079365079365,0.2,0.6933795262896825
41,0.0,0.0,0.0
42,0.3357936507936508,0.2,0.26112971230158727
43,0.2928968253968254,0.1,0.6930648561507935
44,0.10956349206349207,0.1,0.026398189484126984
45,0.08456349206349206,0.1,0.010773189484126982
46,0.1428968253968254,0.1,0.06806485615079365
47,0.308968253968254,0.4,0.08156001984126984
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.20289682539682538,0.2,0.19316251240079363
52,0.4121825396825397,0.4,0.6987056671626984
53,0.5138095238095237,0.6,0.24163876488095237
54,0.18650793650793648,0.3,0.06896546378968253
55,0.44202380952380943,0.3,0.7083612351190475
56,0.0,0.0,0.0
57,0.047896825396825396,0.1,0.0019190228174603176
58,0.49257936507936506,0.5,0.7220114087301587
59,0.628095238095238,0.6,0.30362723214285714
60,0.27702380952380956,0.4,0.054813058035714284
61,0.40579365079365076,0.4,0.38632502480158726
62,0.16178571428571428,0.4,0.012476748511904761
63,0.2676190476190476,0.5,0.1943777901785714
64,0.047896825396825396,0.1,0.0019190228174603176
65,0.16718253968253965,0.4,0.00755983382936508
