slot,avg_ov,ov,rb_ov
1,0.654920634920635,0.4,0.9076760912698413
2,0.0,0.0,0.0
3,0.01,0.1,9.765625E-5
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.047896825396825396,0.1,0.0019190228174603176
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.19079365079365077,0.2,0.06998387896825398
15,0.0,0.0,0.0
16,0.10956349206349207,0.1,0.026398189484126984
17,0.5194047619047619,0.3,0.8869326636904762
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.15746031746031747,0.2,0.028317212301587298
21,0.1928968253968254,0.1,0.19306485615079363
22,0.06456349206349207,0.1,0.004523189484126984
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.047896825396825396,0.1,0.0019190228174603176
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.2928968253968254,0.1,0.6930648561507935
41,0.0,0.0,0.0
42,0.1928968253968254,0.1,0.19306485615079363
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.31107142857142855,0.3,0.20464099702380953
52,0.39107142857142857,0.3,0.6983909970238095
53,0.3024603174603175,0.2,0.21946304563492064
54,0.08456349206349206,0.1,0.010773189484126982
55,0.2928968253968254,0.1,0.6930648561507935
56,0.0,0.0,0.0
57,0.17023809523809524,0.3,0.015611049107142857
58,0.5682539682539682,0.4,0.7738219246031747
59,0.7923809523809523,0.6,0.849014136904762
60,0.2960714285714286,0.4,0.09536365327380952
61,0.3024603174603175,0.2,0.21946304563492064
62,0.21273809523809523,0.4,0.022446986607142855
63,0.29107142857142854,0.3,0.19839099702380952
64,0.047896825396825396,0.1,0.0019190228174603176
65,0.14357142857142854,0.4,0.006854538690476191
