slot,avg_ov,ov,rb_ov
1,0.24761904761904757,0.3,0.1941824776785714
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.047896825396825396,0.1,0.0019190228174603176
15,0.0,0.0,0.0
16,0.10956349206349207,0.1,0.026398189484126984
17,0.047896825396825396,0.1,0.0019190228174603176
18,0.0,0.0,0.0
19,0.01,0.1,9.765625E-5
20,0.1528968253968254,0.2,0.06816251240079366
21,0.06456349206349207,0.1,0.004523189484126984
22,0.14317460317460318,0.2,0.02720114087301587
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.15746031746031747,0.2,0.028317212301587298
35,0.0,0.0,0.0
36,0.047896825396825396,0.1,0.0019190228174603176
37,0.08456349206349206,0.1,0.010773189484126982
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.10956349206349207,0.1,0.026398189484126984
41,0.0,0.0,0.0
42,0.06456349206349207,0.1,0.004523189484126984
43,0.03361111111111111,0.1,8.029513888888889E-4
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.2524603174603175,0.2,0.09446304563492063
52,0.2556349206349206,0.4,0.033643353174603166
53,0.2885714285714286,0.4,0.19800037202380952
54,0.2274603174603175,0.2,0.07883804563492064
55,0.17650793650793647,0.2,0.06886780753968254
56,0.22884920634920633,0.4,0.03203900049603174
57,0.2556349206349206,0.4,0.033643353174603166
58,0.1640079365079365,0.2,0.06837952628968254
59,0.5496428571428572,0.7,0.277641369047619
60,0.4236904761904762,0.7,0.20777529761904762
61,0.15607142857142856,0.4,0.007342819940476191
62,0.12912698412698415,0.2,0.009046378968253967
63,0.01,0.1,9.765625E-5
64,0.15746031746031747,0.2,0.028317212301587298
65,0.2041269841269841,0.3,0.03726903521825396
