varid,slot_no,erinaki_score
617,1,751.53
617,2,703.53
617,3,300.85
617,4,313.93
617,5,451.07
617,6,2505.71
617,7,406.76
617,8,1093.24
617,9,1388.26
617,10,1742.86
617,11,1062.33
617,12,2631.35
617,13,1377.98
617,14,837.04
617,15,1513.63
617,16,472.46
617,17,85.75
617,18,50.94
617,19,671.42
617,20,887.73
617,21,80.71
617,22,26.16
617,23,378.21
617,24,808.28
617,25,687.28
617,26,928.06
617,27,882.96
617,28,1051.17
617,29,233.75
617,30,513.12
617,31,1167.00
617,32,2092.77
617,33,1288.85
617,34,2498.34
617,35,593.96
617,36,602.50
617,37,464.12
617,38,797.67
617,39,894.46
617,40,1346.45
617,41,517.05
617,42,595.07
617,43,392.08
617,44,237.69
617,45,278.77
617,46,896.98
617,47,699.47
617,48,1536.86
617,49,212.69
617,50,10.01
617,51,0.00
617,52,0.38
617,53,1.82
617,54,0.64
617,55,0.06
617,56,0.17
617,57,0.95
617,58,0.00
617,59,0.00
617,60,0.00
617,61,56.75
617,62,1.24
617,63,0.00
617,64,15.62
617,65,0.00
629,1,931.73
629,2,2260.86
629,3,533.91
629,4,395.93
629,5,328.24
629,6,773.77
629,7,1469.79
629,8,2103.25
629,9,1116.53
629,10,2915.25
629,11,1259.46
629,12,1636.89
629,13,173.34
629,14,866.00
629,15,486.39
629,16,1000.04
629,17,1055.84
629,18,472.50
629,19,332.22
629,20,2304.43
629,21,1526.17
629,22,590.03
629,23,1528.63
629,24,389.44
629,25,886.11
629,26,467.68
629,27,565.16
629,28,125.58
629,29,458.38
629,30,488.35
629,31,1255.59
629,32,762.82
629,33,97.97
629,34,153.65
629,35,755.02
629,36,717.32
629,37,2227.27
629,38,493.50
629,39,672.27
629,40,775.23
629,41,226.87
629,42,1120.87
629,43,648.24
629,44,872.46
629,45,31.63
629,46,45.09
629,47,22.25
629,48,30.60
629,49,132.34
629,50,10.32
629,51,0.00
629,52,0.00
629,53,0.00
629,54,0.00
629,55,0.00
629,56,0.00
629,57,0.00
629,58,4.65
629,59,0.00
629,60,6.75
629,61,17.87
629,62,0.93
629,63,0.00
629,64,0.00
629,65,0.00
659,1,17.06
659,2,352.50
659,3,20.52
659,4,224.51
659,5,387.36
659,6,1541.36
659,7,2485.21
659,8,1452.97
659,9,1793.73
659,10,1391.97
659,11,956.32
659,12,918.14
659,13,1589.84
659,14,2137.21
659,15,3194.33
659,16,4699.16
659,17,2828.33
659,18,3826.78
659,19,4392.65
659,20,4114.06
659,21,1913.20
659,22,1333.47
659,23,763.48
659,24,900.15
659,25,502.80
659,26,667.47
659,27,1217.47
659,28,117.86
659,29,386.36
659,30,78.19
659,31,1187.74
659,32,623.51
659,33,461.80
659,34,1192.63
659,35,625.02
659,36,88.45
659,37,466.10
659,38,155.17
659,39,274.47
659,40,9.94
659,41,4.14
659,42,5.45
659,43,4.56
659,44,0.00
659,45,2.27
659,46,130.29
659,47,0.00
659,48,0.00
659,49,4.62
659,50,0.00
659,51,0.00
659,52,0.00
659,53,0.00
659,54,0.00
659,55,0.00
659,56,0.00
659,57,0.00
659,58,0.00
659,59,0.00
659,60,0.00
659,61,0.00
659,62,0.00
659,63,0.00
659,64,0.00
659,65,0.00
720,1,0.00
720,2,0.00
720,3,0.00
720,4,0.00
720,5,0.00
720,6,58.84
720,7,409.94
720,8,426.80
720,9,251.43
720,10,919.22
720,11,1073.58
720,12,1980.43
720,13,770.14
720,14,3337.42
720,15,1633.69
720,16,3012.57
720,17,1177.37
720,18,1879.20
720,19,1373.09
720,20,1574.70
720,21,1570.03
720,22,516.77
720,23,1505.88
720,24,1124.76
720,25,677.05
720,26,997.88
720,27,1253.38
720,28,491.53
720,29,834.16
720,30,1004.81
720,31,956.85
720,32,864.86
720,33,742.93
720,34,908.04
720,35,2067.43
720,36,307.29
720,37,1377.51
720,38,832.58
720,39,150.78
720,40,237.92
720,41,971.48
720,42,599.22
720,43,220.27
720,44,335.82
720,45,106.83
720,46,77.94
720,47,91.68
720,48,123.27
720,49,147.29
720,50,32.74
720,51,1.00
720,52,1.18
720,53,0.67
720,54,0.97
720,55,0.81
720,56,0.75
720,57,1.31
720,58,115.42
720,59,411.43
720,60,98.14
720,61,1316.86
720,62,324.63
720,63,353.62
720,64,0.00
720,65,0.00
856,1,0.00
856,2,0.00
856,3,0.00
856,4,0.00
856,5,0.00
856,6,0.00
856,7,0.00
856,8,0.00
856,9,0.00
856,10,0.00
856,11,0.00
856,12,0.00
856,13,0.00
856,14,0.00
856,15,0.00
856,16,0.00
856,17,0.00
856,18,0.00
856,19,7.99
856,20,27.45
856,21,34.44
856,22,1172.24
856,23,239.19
856,24,525.62
856,25,450.08
856,26,697.39
856,27,393.30
856,28,322.37
856,29,1239.16
856,30,1110.13
856,31,1221.66
856,32,1908.09
856,33,942.49
856,34,907.02
856,35,417.52
856,36,467.27
856,37,1787.10
856,38,1148.79
856,39,4808.13
856,40,784.61
856,41,1448.51
856,42,1567.05
856,43,999.37
856,44,749.08
856,45,876.18
856,46,1153.72
856,47,2109.64
856,48,1247.62
856,49,903.85
856,50,471.96
856,51,0.73
856,52,0.55
856,53,0.37
856,54,0.48
856,55,2.55
856,56,0.83
856,57,2.39
856,58,12.73
856,59,199.52
856,60,197.37
856,61,243.96
856,62,516.47
856,63,253.76
856,64,183.58
856,65,42.33
